id_estado;cidade;estado
22;Alta Floresta Doeste;RO
22;Ariquemes;RO
22;Cabixi;RO
22;Cacoal;RO
22;Cerejeiras;RO
22;Colorado Do Oeste;RO
22;Corumbiara;RO
22;Costa Marques;RO
22;Espigao Doeste;RO
22;Guajara Mirim;RO
22;Jaru;RO
22;Ji Parana;RO
22;Machadinho Doeste;RO
22;Nova Brasilandia Doeste;RO
22;Ouro Preto Do Oeste;RO
22;Pimenta Bueno;RO
22;Porto Velho;RO
22;Presidente Medici;RO
22;Rio Crespo;RO
22;Rolim De Moura;RO
22;Santa Luzia Doeste;RO
22;Vilhena;RO
22;Sao Miguel Do Guapore;RO
22;Nova Mamore;RO
22;Alvorada Doeste;RO
22;Alto Alegre Dos Parecis;RO
22;Alto Paraiso;RO
22;Buritis;RO
22;Novo Horizonte Do Oeste;RO
22;Cacaulandia;RO
22;Campo Novo De Rondonia;RO
22;Candeias Do Jamari;RO
22;Castanheiras;RO
22;Chupinguaia;RO
22;Cujubim;RO
22;Governador Jorge Teixeira;RO
22;Itapua Do Oeste;RO
22;Ministro Andreazza;RO
22;Mirante Da Serra;RO
22;Monte Negro;RO
22;Nova Uniao;RO
22;Parecis;RO
22;Pimenteiras Do Oeste;RO
22;Primavera De Rondonia;RO
22;Sao Felipe Doeste;RO
22;Sao Francisco Do Guapore;RO
22;Seringueiras;RO
22;Teixeiropolis;RO
22;Theobroma;RO
22;Urupa;RO
22;Vale Do Anari;RO
22;Vale Do Paraiso;RO
1;Acrelandia;AC
1;Assis Brasil;AC
1;Brasileia;AC
1;Bujari;AC
1;Capixaba;AC
1;Cruzeiro Do Sul;AC
1;Epitaciolandia;AC
1;Feijo;AC
1;Jordao;AC
1;Mancio Lima;AC
1;Manoel Urbano;AC
1;Marechal Thaumaturgo;AC
1;Placido De Castro;AC
1;Porto Walter;AC
1;Rio Branco;AC
1;Rodrigues Alves;AC
1;Santa Rosa Do Purus;AC
1;Senador Guiomard;AC
1;Sena Madureira;AC
1;Tarauaca;AC
1;Xapuri;AC
1;Porto Acre;AC
4;Alvaraes;AM
4;Amatura;AM
4;Anama;AM
4;Anori;AM
4;Apui;AM
4;Atalaia Do Norte;AM
4;Autazes;AM
4;Barcelos;AM
4;Barreirinha;AM
4;Benjamin Constant;AM
4;Beruri;AM
4;Boa Vista Do Ramos;AM
4;Boca Do Acre;AM
4;Borba;AM
4;Caapiranga;AM
4;Canutama;AM
4;Carauari;AM
4;Careiro;AM
4;Careiro Da Varzea;AM
4;Coari;AM
4;Codajas;AM
4;Eirunepe;AM
4;Envira;AM
4;Fonte Boa;AM
4;Guajara;AM
4;Humaita;AM
4;Ipixuna;AM
4;Iranduba;AM
4;Itacoatiara;AM
4;Itamarati;AM
4;Itapiranga;AM
4;Japura;AM
4;Jurua;AM
4;Jutai;AM
4;Labrea;AM
4;Manacapuru;AM
4;Manaquiri;AM
4;Manaus;AM
4;Manicore;AM
4;Maraa;AM
4;Maues;AM
4;Nhamunda;AM
4;Nova Olinda Do Norte;AM
4;Novo Airao;AM
4;Novo Aripuana;AM
4;Parintins;AM
4;Pauini;AM
4;Presidente Figueiredo;AM
4;Rio Preto Da Eva;AM
4;Santa Isabel Do Rio Negro;AM
4;Santo Antonio Do Ica;AM
4;Sao Gabriel Da Cachoeira;AM
4;Sao Paulo De Olivenca;AM
4;Sao Sebastiao Do Uatuma;AM
4;Silves;AM
4;Tabatinga;AM
4;Tapaua;AM
4;Tefe;AM
4;Tonantins;AM
4;Uarini;AM
4;Urucara;AM
4;Urucurituba;AM
23;Amajari;RR
23;Alto Alegre;RR
23;Boa Vista;RR
23;Bonfim;RR
23;Canta;RR
23;Caracarai;RR
23;Caroebe;RR
23;Iracema;RR
23;Mucajai;RR
23;Normandia;RR
23;Pacaraima;RR
23;Rorainopolis;RR
23;Sao Joao Da Baliza;RR
23;Sao Luiz;RR
23;Uiramuta;RR
14;Abaetetuba;PA
14;Abel Figueiredo;PA
14;Acara;PA
14;Afua;PA
14;Agua Azul Do Norte;PA
14;Alenquer;PA
14;Almeirim;PA
14;Altamira;PA
14;Anajas;PA
14;Ananindeua;PA
14;Anapu;PA
14;Augusto Correa;PA
14;Aurora Do Para;PA
14;Aveiro;PA
14;Bagre;PA
14;Baiao;PA
14;Bannach;PA
14;Barcarena;PA
14;Belem;PA
14;Belterra;PA
14;Benevides;PA
14;Bom Jesus Do Tocantins;PA
14;Bonito;PA
14;Braganca;PA
14;Brasil Novo;PA
14;Brejo Grande Do Araguaia;PA
14;Breu Branco;PA
14;Breves;PA
14;Bujaru;PA
14;Cachoeira Do Piria;PA
14;Cachoeira Do Arari;PA
14;Cameta;PA
14;Canaa Dos Carajas;PA
14;Capanema;PA
14;Capitao Poco;PA
14;Castanhal;PA
14;Chaves;PA
14;Colares;PA
14;Conceicao Do Araguaia;PA
14;Concordia Do Para;PA
14;Cumaru Do Norte;PA
14;Curionopolis;PA
14;Curralinho;PA
14;Curua;PA
14;Curuca;PA
14;Dom Eliseu;PA
14;Eldorado Do Carajas;PA
14;Faro;PA
14;Floresta Do Araguaia;PA
14;Garrafao Do Norte;PA
14;Goianesia Do Para;PA
14;Gurupa;PA
14;Igarape Grande;PA
14;Igarape Miri;PA
14;Inhangapi;PA
14;Ipixuna Do Para;PA
14;Irituia;PA
14;Itaituba;PA
14;Itupiranga;PA
14;Jacareacanga;PA
14;Jacunda;PA
14;Juruti;PA
14;Limoeiro Do Ajuru;PA
14;Mae Do Rio;PA
14;Magalhaes Barata;PA
14;Maraba;PA
14;Maracana;PA
14;Marapanim;PA
14;Marituba;PA
14;Medicilandia;PA
14;Melgaco;PA
14;Mocajuba;PA
14;Moju;PA
14;Mojui Dos Campos;PA
14;Monte Alegre;PA
14;Muana;PA
14;Nova Esperanca Do Piria;PA
14;Nova Ipixuna;PA
14;Nova Timboteua;PA
14;Novo Progresso;PA
14;Novo Repartimento;PA
14;Obidos;PA
14;Oeiras Do Para;PA
14;Oriximina;PA
14;Ourem;PA
14;Ourilandia Do Norte;PA
14;Pacaja;PA
14;Palestina Do Para;PA
14;Paragominas;PA
14;Parauapebas;PA
14;Pau Darco;PA
14;Peixe Boi;PA
14;Picarra;PA
14;Placas;PA
14;Ponta De Pedras;PA
14;Portel;PA
14;Porto De Moz;PA
14;Prainha;PA
14;Primavera;PA
14;Quatipuru;PA
14;Redencao;PA
14;Rio Maria;PA
14;Rondon Do Para;PA
14;Ruropolis;PA
14;Salinopolis;PA
14;Salvaterra;PA
14;Santa Barbara Do Para;PA
14;Santa Cruz Do Arari;PA
14;Santa Izabel Do Para;PA
14;Santa Luzia Do Para;PA
14;Santa Maria Das Barreiras;PA
14;Santa Maria Do Para;PA
14;Santana Do Araguaia;PA
14;Santarem;PA
14;Santarem Novo;PA
14;Santo Antonio Do Taua;PA
14;Sao Caetano De Odivelas;PA
14;Sao Domingos Do Araguaia;PA
14;Sao Domingos Do Capim;PA
14;Sao Felix Do Xingu;PA
14;Sao Francisco Do Para;PA
14;Sao Geraldo Do Araguaia;PA
14;Sao Joao Da Ponta;PA
14;Sao Joao De Pirabas;PA
14;Sao Joao Do Araguaia;PA
14;Sao Miguel Do Guama;PA
14;Sao Sebastiao Da Boa Vista;PA
14;Sapucaia;PA
14;Senador Jose Porfirio;PA
14;Soure;PA
14;Tailandia;PA
14;Terra Alta;PA
14;Terra Santa;PA
14;Tome Acu;PA
14;Tracuateua;PA
14;Trairao;PA
14;Tucuma;PA
14;Tucurui;PA
14;Ulianopolis;PA
14;Uruara;PA
14;Vigia;PA
14;Viseu;PA
14;Vitoria Do Xingu;PA
14;Xinguara;PA
3;Serra Do Navio;AP
3;Amapa;AP
3;Pedra Branca Do Amapari;AP
3;Calcoene;AP
3;Cutias;AP
3;Ferreira Gomes;AP
3;Itaubal;AP
3;Laranjal Do Jari;AP
3;Macapa;AP
3;Mazagao;AP
3;Oiapoque;AP
3;Porto Grande;AP
3;Pracuuba;AP
3;Santana;AP
3;Tartarugalzinho;AP
3;Vitoria Do Jari;AP
27;Abreulandia;TO
27;Aguiarnopolis;TO
27;Alianca Do Tocantins;TO
27;Almas;TO
27;Alvorada;TO
27;Ananas;TO
27;Angico;TO
27;Aparecida Do Rio Negro;TO
27;Aragominas;TO
27;Araguacema;TO
27;Araguacu;TO
27;Araguaina;TO
27;Araguana;TO
27;Araguatins;TO
27;Arapoema;TO
27;Arraias;TO
27;Augustinopolis;TO
27;Aurora Do Tocantins;TO
27;Axixa Do Tocantins;TO
27;Babaculandia;TO
27;Bandeirantes Do Tocantins;TO
27;Barra Do Ouro;TO
27;Barrolandia;TO
27;Bernardo Sayao;TO
27;Bom Jesus Do Tocantins;TO
27;Brasilandia Do Tocantins;TO
27;Brejinho De Nazare;TO
27;Buriti Do Tocantins;TO
27;Cachoeirinha;TO
27;Campos Lindos;TO
27;Cariri Do Tocantins;TO
27;Carmolandia;TO
27;Carrasco Bonito;TO
27;Caseara;TO
27;Centenario;TO
27;Chapada De Areia;TO
27;Chapada Da Natividade;TO
27;Colinas Do Tocantins;TO
27;Combinado;TO
27;Conceicao Do Tocantins;TO
27;Couto Magalhaes;TO
27;Cristalandia;TO
27;Crixas Do Tocantins;TO
27;Darcinopolis;TO
27;Dianopolis;TO
27;Divinopolis Do Tocantins;TO
27;Dois Irmaos Do Tocantins;TO
27;Duere;TO
27;Esperantina;TO
27;Fatima;TO
27;Figueiropolis;TO
27;Filadelfia;TO
27;Formoso Do Araguaia;TO
27;Fortaleza Do Tabocao;TO
27;Goianorte;TO
27;Goiatins;TO
27;Guarai;TO
27;Gurupi;TO
27;Ipueiras;TO
27;Itacaja;TO
27;Itaguatins;TO
27;Itapiratins;TO
27;Itapora Do Tocantins;TO
27;Jau Do Tocantins;TO
27;Juarina;TO
27;Lagoa Da Confusao;TO
27;Lagoa Do Tocantins;TO
27;Lajeado;TO
27;Lavandeira;TO
27;Lizarda;TO
27;Luzinopolis;TO
27;Marianopolis Do Tocantins;TO
27;Mateiros;TO
27;Maurilandia Do Tocantins;TO
27;Miracema Do Tocantins;TO
27;Miranorte;TO
27;Monte Do Carmo;TO
27;Monte Santo Do Tocantins;TO
27;Palmeiras Do Tocantins;TO
27;Muricilandia;TO
27;Natividade;TO
27;Nazare;TO
27;Nova Olinda;TO
27;Nova Rosalandia;TO
27;Novo Acordo;TO
27;Novo Alegre;TO
27;Novo Jardim;TO
27;Oliveira De Fatima;TO
27;Palmeirante;TO
27;Palmeiropolis;TO
27;Paraiso Do Tocantins;TO
27;Parana;TO
27;Pau Darco;TO
27;Pedro Afonso;TO
27;Peixe;TO
27;Pequizeiro;TO
27;Colmeia;TO
27;Pindorama Do Tocantins;TO
27;Piraque;TO
27;Pium;TO
27;Ponte Alta Do Bom Jesus;TO
27;Ponte Alta Do Tocantins;TO
27;Porto Alegre Do Tocantins;TO
27;Porto Nacional;TO
27;Praia Norte;TO
27;Presidente Kennedy;TO
27;Pugmil;TO
27;Recursolandia;TO
27;Riachinho;TO
27;Rio Da Conceicao;TO
27;Rio Dos Bois;TO
27;Rio Sono;TO
27;Sampaio;TO
27;Sandolandia;TO
27;Santa Fe Do Araguaia;TO
27;Santa Maria Do Tocantins;TO
27;Santa Rita Do Tocantins;TO
27;Santa Rosa Do Tocantins;TO
27;Santa Tereza Do Tocantins;TO
27;Santa Terezinha Do Tocantins;TO
27;Sao Bento Do Tocantins;TO
27;Sao Felix Do Tocantins;TO
27;Sao Miguel Do Tocantins;TO
27;Sao Salvador Do Tocantins;TO
27;Sao Sebastiao Do Tocantins;TO
27;Sao Valerio;TO
27;Silvanopolis;TO
27;Sitio Novo Do Tocantins;TO
27;Sucupira;TO
27;Taguatinga;TO
27;Taipas Do Tocantins;TO
27;Talisma;TO
27;Palmas;TO
27;Tocantinia;TO
27;Tocantinopolis;TO
27;Tupirama;TO
27;Tupiratins;TO
27;Wanderlandia;TO
27;Xambioa;TO
10;Acailandia;MA
10;Afonso Cunha;MA
10;Agua Doce Do Maranhao;MA
10;Alcantara;MA
10;Aldeias Altas;MA
10;Altamira Do Maranhao;MA
10;Alto Alegre Do Maranhao;MA
10;Alto Alegre Do Pindare;MA
10;Alto Parnaiba;MA
10;Amapa Do Maranhao;MA
10;Amarante Do Maranhao;MA
10;Anajatuba;MA
10;Anapurus;MA
10;Apicum Acu;MA
10;Araguana;MA
10;Araioses;MA
10;Arame;MA
10;Arari;MA
10;Axixa;MA
10;Bacabal;MA
10;Bacabeira;MA
10;Bacuri;MA
10;Bacurituba;MA
10;Balsas;MA
10;Barao De Grajau;MA
10;Barra Do Corda;MA
10;Barreirinhas;MA
10;Belagua;MA
10;Bela Vista Do Maranhao;MA
10;Benedito Leite;MA
10;Bequimao;MA
10;Bernardo Do Mearim;MA
10;Boa Vista Do Gurupi;MA
10;Bom Jardim;MA
10;Bom Jesus Das Selvas;MA
10;Bom Lugar;MA
10;Brejo;MA
10;Brejo De Areia;MA
10;Buriti;MA
10;Buriti Bravo;MA
10;Buriticupu;MA
10;Buritirana;MA
10;Cachoeira Grande;MA
10;Cajapio;MA
10;Cajari;MA
10;Campestre Do Maranhao;MA
10;Candido Mendes;MA
10;Cantanhede;MA
10;Capinzal Do Norte;MA
10;Carolina;MA
10;Carutapera;MA
10;Caxias;MA
10;Cedral;MA
10;Central Do Maranhao;MA
10;Centro Do Guilherme;MA
10;Centro Novo Do Maranhao;MA
10;Chapadinha;MA
10;Cidelandia;MA
10;Codo;MA
10;Coelho Neto;MA
10;Colinas;MA
10;Conceicao Do Lago Acu;MA
10;Coroata;MA
10;Cururupu;MA
10;Davinopolis;MA
10;Dom Pedro;MA
10;Duque Bacelar;MA
10;Esperantinopolis;MA
10;Estreito;MA
10;Feira Nova Do Maranhao;MA
10;Fernando Falcao;MA
10;Formosa Da Serra Negra;MA
10;Fortaleza Dos Nogueiras;MA
10;Fortuna;MA
10;Godofredo Viana;MA
10;Goncalves Dias;MA
10;Governador Archer;MA
10;Governador Edison Lobao;MA
10;Governador Eugenio Barros;MA
10;Governador Luiz Rocha;MA
10;Governador Newton Bello;MA
10;Governador Nunes Freire;MA
10;Graca Aranha;MA
10;Grajau;MA
10;Guimaraes;MA
10;Humberto De Campos;MA
10;Icatu;MA
10;Igarape Acu;MA
10;Igarape Do Meio;MA
10;Imperatriz;MA
10;Itaipava Do Grajau;MA
10;Itapecuru Mirim;MA
10;Itinga Do Maranhao;MA
10;Jatoba;MA
10;Jenipapo Dos Vieiras;MA
10;Joao Lisboa;MA
10;Joselandia;MA
10;Junco Do Maranhao;MA
10;Lago Da Pedra;MA
10;Lago Do Junco;MA
10;Lago Verde;MA
10;Lagoa Do Mato;MA
10;Lago Dos Rodrigues;MA
10;Lagoa Grande Do Maranhao;MA
10;Lajeado Novo;MA
10;Lima Campos;MA
10;Loreto;MA
10;Luis Domingues;MA
10;Magalhaes De Almeida;MA
10;Maracacume;MA
10;Maraja Do Sena;MA
10;Maranhaozinho;MA
10;Mata Roma;MA
10;Matinha;MA
10;Matoes;MA
10;Matoes Do Norte;MA
10;Milagres Do Maranhao;MA
10;Mirador;MA
10;Miranda Do Norte;MA
10;Mirinzal;MA
10;Moncao;MA
10;Montes Altos;MA
10;Morros;MA
10;Nina Rodrigues;MA
10;Nova Colinas;MA
10;Nova Iorque;MA
10;Nova Olinda Do Maranhao;MA
10;Olho Dagua Das Cunhas;MA
10;Olinda Nova Do Maranhao;MA
10;Paco Do Lumiar;MA
10;Palmeirandia;MA
10;Paraibano;MA
10;Parnarama;MA
10;Passagem Franca;MA
10;Pastos Bons;MA
10;Paulino Neves;MA
10;Paulo Ramos;MA
10;Pedreiras;MA
10;Pedro Do Rosario;MA
10;Penalva;MA
10;Peri Mirim;MA
10;Peritoro;MA
10;Pindare Mirim;MA
10;Pinheiro;MA
10;Pio Xii;MA
10;Pirapemas;MA
10;Pocao De Pedras;MA
10;Porto Franco;MA
10;Porto Rico Do Maranhao;MA
10;Presidente Dutra;MA
10;Presidente Juscelino;MA
10;Presidente Medici;MA
10;Presidente Sarney;MA
10;Presidente Vargas;MA
10;Primeira Cruz;MA
10;Raposa;MA
10;Riachao;MA
10;Ribamar Fiquene;MA
10;Rosario;MA
10;Sambaiba;MA
10;Santa Filomena Do Maranhao;MA
10;Santa Helena;MA
10;Santa Ines;MA
10;Santa Luzia;MA
10;Santa Luzia Do Parua;MA
10;Santa Quiteria Do Maranhao;MA
10;Santa Rita;MA
10;Santana Do Maranhao;MA
10;Santo Amaro Do Maranhao;MA
10;Santo Antonio Dos Lopes;MA
10;Sao Benedito Do Rio Preto;MA
10;Sao Bento;MA
10;Sao Bernardo;MA
10;Sao Domingos Do Azeitao;MA
10;Sao Domingos Do Maranhao;MA
10;Sao Felix De Balsas;MA
10;Sao Francisco Do Brejao;MA
10;Sao Francisco Do Maranhao;MA
10;Sao Joao Batista;MA
10;Sao Joao Do Caru;MA
10;Sao Joao Do Paraiso;MA
10;Sao Joao Do Soter;MA
10;Sao Joao Dos Patos;MA
10;Sao Jose De Ribamar;MA
10;Sao Jose Dos Basilios;MA
10;Sao Luis;MA
10;Sao Luis Gonzaga Do Maranhao;MA
10;Sao Mateus Do Maranhao;MA
10;Sao Pedro Da Agua Branca;MA
10;Sao Pedro Dos Crentes;MA
10;Sao Raimundo Das Mangabeiras;MA
10;Sao Raimundo Do Doca Bezerra;MA
10;Sao Roberto;MA
10;Sao Vicente Ferrer;MA
10;Satubinha;MA
10;Senador Alexandre Costa;MA
10;Senador La Rocque;MA
10;Serrano Do Maranhao;MA
10;Sitio Novo;MA
10;Sucupira Do Norte;MA
10;Sucupira Do Riachao;MA
10;Tasso Fragoso;MA
10;Timbiras;MA
10;Timon;MA
10;Trizidela Do Vale;MA
10;Tufilandia;MA
10;Tuntum;MA
10;Turiacu;MA
